Original_Title,Year_Of_Release,Runtime,Genres,Imdb_Rating,Imdb_Votes,Actors
Dhadak,2018,138,Comedy|Drama|Romance,4.5,8363,Ishaan Khattar|Janhvi Kapoor|Ashutosh Rana|Aditya Kumar|Kharaj Mukherjee|Ankit Bisht|Shalini Kapoor|Aishwarya Narkar|Usha Shree|Sartaj Ansari|Hempushpak Arora|Aishwarya Avinash|Vishwanath Chatterjee|Alok Ranjan Chaudhary|
Sanju,2018,155,Biography|Drama,7.8,42718,Ranbir Kapoor|Paresh Rawal|Manisha Koirala|Vicky Kaushal|Dia Mirza|Anushka Sharma|Sonam Kapoor|Jim Sarbh|Karishma Tanna|Boman Irani|Ashnoor Kaur|Siya|Tabu|Sayaji Shinde|
Saheb Biwi Aur Gangster 3,2018,140,Action|Crime|Drama,4.3,631,Sanjay Dutt|Jimmy Sheirgill|Mahie Gill|Chitrangda Singh|Kabir Bedi|Deepak Tijori|Pamela Singh Bhutoria|Soha Ali Khan|Nafisa Ali|Deep Raj Rana|Zakir Hussain|Manas Thakkar|Rishina Kandhari|Kanika Dang|
Nawabzaade,2018,112,Comedy|Romance,4.7,748,Dharmesh Yelande|Punit Pathak|Raghav Juyal|Isha Rikhi|
Mulk,2018,140,Drama,6.7,12123,Taapsee Pannu|Rishi Kapoor|Prateik|Ashutosh Rana|Neena Gupta|Ashrut Jain|Simran Nisha|
Brij Mohan Amar Rahe,2017,105,Comedy|Crime|Drama,7,2533,Arjun Mathur|Nidhi Singh|Sheetal Thakur|Manav Vij|Aanchal Chauhan|Sunny Hinduja|Vijayant Kohli|Yogendra Tiku|Lokesh Mittal|Jitendra Gupta|
Karwaan,2018,114,Comedy|Drama,7.5,9436,Irrfan Khan|Dulquer Salmaan|Mithila Palkar|Amala Akkineni|Akash Khurana|Kriti Kharbanda|Donna Munshi|Abir Abrar|Beena Banerjee|Siddharth Menon|Adrika Shetty|Sameer Saxena|Kallirroi Tziafeta|Richard John Lovatt|
Gold,2018,151,Drama|History|Sport,7.3,10081,Akshay Kumar|Mouni Roy|Kunal Kapoor|Amit Sadh|Viineet Kumar|Sunny Kaushal|Nikita Dutta|Andrew Havill|Manjit Singh|Christopher James Burton|Kumud Pant|Varun Raj|Sam Succoi|Bhawsheel Sahni|
Satyameva Jayate,2018,140,Action|Thriller,5.6,5446,John Abraham|Manoj Bajpayee|Aisha Sharma|Amruta Khanvilkar|Manish Chaudhary|Myrah Dandekar|Devdutta Nage|Nora Fatehi|
Happy Phirr Bhag Jayegi,2018,136,Comedy,4.5,974,Sonakshi Sinha|Diana Penty|Jimmy Sheirgill|Ali Fazal|Piyush Mishra|Jassie Gill|Denzil Smith|Jason Tham|Bijou Thaangjam|Jeeveshu Ahluwalia|Gaurav Dixit|Ashu Sharma|
Genius,2018,165,Action|Thriller,4.6,803,Utkarsh Sharma|Ishita Chauhan|Mithun Chakraborty|Ayesha Jhulka|Nawazuddin Siddiqui|
Yamla Pagla Deewana Phir Se...,2018,145,Action|Comedy,4.8,887,Dharmendra|Sunny Deol|Bobby Deol|Kriti Kharbanda|Asrani|Satish Kaushik|Binnu Dhillon|
Stree,2018,128,Comedy|Horror,7.7,22671,Rajkummar Rao|Shraddha Kapoor|Pankaj Tripathi|Aparshakti Khurana|Abhishek Banerjee|Ram Kishan Dhakad|Atul Srivastava|Vijay Raaz|Aakash Dabhade|Nora Fatehi|Kriti Sanon|Flora Saini|
Paltan,2018,150,Action|Drama|History,5.2,729,Jackie Shroff|Arjun Rampal|Sonu Sood|Gurmeet Choudhary|Abdul Quadir Amin|Siddhant Kapoor|Harshvardhan Rane|Luv Sinha|Abhilash Chaudhary|Esha Gupta|Bijou Thaangjam|Sonal Chauhan|Monica Gill|Dipika Kakar|
Laila Majnu,2018,140,Drama|Romance,7.7,1633,Avinash Tiwary|Tripti Dimri|Sumit Kaul|Abrar Qazi|Sahiba Bali|Mir Sarwar|Benjamin Gilani|Parmeet Sethi|Farhana Bhat|Shagufta Ali|Sujata Sehgal|Vasundhara Kaul|Zameer Ashai|Shahid Gulfam|
Gali Guleiyan,2017,117,Drama|Thriller,7.1,314,Manoj Bajpayee|Ranvir Shorey|Neeraj Kabi|Shahana Goswami|Om Singh|Arbaaz Khan|Shruti Sharma|Ashwath Bhatt|Robin Das|Durga Sharma Shrivastva|
Halkaa,2018,114,Drama|Family,7.2,271,Paoli Dam|Vipin Katyal|Ranvir Shorey|Tathastu|
Pataakha,2018,134,Action|Comedy|Drama,7.2,2931,Sanya Malhotra|Radhika Madan|Sunil Grover|Vijay Raaz|Namit Das|Abhishek Duhan|Saanand Verma|Usha Nagar|Dev Rajora|
Batti Gul Meter Chalu,2018,161,Drama,6.1,4169,Shahid Kapoor|Shraddha Kapoor|Divyendu Sharma|Yami Gautam|Sushmita Mukherjee|Samir Soni|Ashrut Jain|
Love Sonia,2018,122,Drama,7.4,1048,Abhishek Bharate|Riya Sisodiya|Mrunal Thakur|Adil Hussain|Kiran Khoje|Saroj Sharma|Bhavik Jain|Sonali Jain|Rahul Goyal|Sai Tamhankar|D.P. Singh|Anupam Kher|Nikita Aggarwal|Ankur Vikal|
Manto,2018,112,Biography|Drama,7.4,2947,Nawazuddin Siddiqui|Rasika Dugal|Tahir Raj Bhasin|Nazma Ali Shaikh|Ashwini Giri|Neeraj Sood|Purab Kohli|Swanand Kirkire|Chittaranjan Tripathy|Vihaan Das Maskara|Nishith Dadhich|Sunil Kamath|Priyanka Misal|Suhas Joshi|
Ishqeria,2018,118,Comedy|Romance,4.2,139,Manish Anand|Raj Babbar|Richa Chadha|Juby Devasia|Lata Gandi|Gurbani|Bikramjeet Kanerwal|Mustaq Khan|Ehsaas Madan|Neil Nitin Mukesh|Rajni Nayyar|Sanaya Pithawalla|Mrudula Sathe|Mrinalini Sharma|
Manmarziyaan,2018,156,Romance,6.9,5754,Taapsee Pannu|Abhishek Bachchan|Vicky Kaushal|Jasmin Bajwa|Ashnoor Kaur|Swairaj Sandhu|Neelu Kohli|Poonam Shah|Priyanka Shah|Sukhmani Sadana|Saurabh Sachdeva|Arshpreet Singh|
Mitron,2018,119,Comedy,6.9,1820,Jackky Bhagnani|Kritika Kamra|Prateik|Perlene Bhersaina|Rishi Panchal|Neha Reddy|
Sui Dhaaga: Made in India,2018,122,Comedy|Drama,6.8,5850,Anushka Sharma|Varun Dhawan|Raghuvir Yadav|Ashish Verma|Siddharth Bhardwaj|Komal Chhabria|Namit Das|Anirban Bhattacharyya|Jeetendra Shastri|Komal Singh|Priyanka Arya|Sidharth Bhardwaj|Yamini Das|Mahesh Sharma|
Baazaar,2018,137,Crime|Drama|Thriller,6.6,3859,Radhika Apte|Saif Ali Khan|Chitrangda Singh|Danish Husain|Denzil Smith|Pawan Chopra|Manish Chaudhary|Rohan Vinod Mehra|Karan Singh Chhabra|Mukesh Hariawala|Sahil Sangha|Mayur Bansiwal|Sonia Balani|Sai Gundewar|
Jalebi,2018,112,Drama,6.3,1598,Rhea Chakraborty|Varun Mitra|Digangana Suryavanshi|Arya Poorti|Mahesh Thakur|
FryDay,2018,114,Comedy,5.4,658,Govinda|Varun Sharma|Sanjay Mishra|Rajesh Sharma|Digangana Suryavanshi|Prabhleen Sandhu|
Tumbbad,2018,104,Drama|Fantasy|Horror,8.2,16535,Sohum Shah|Jyoti Malshe|Anita Date|Ronjini Chakraborty|Deepak Damle|
Helicopter Eela,2018,135,Drama,5.5,796,Kajol|Riddhi Sen|Tota Roy Chowdhury|Neha Dhupia|
Namaste England,2018,141,Comedy|Drama|Romance,1.7,2237,Arjun Kapoor|Parineeti Chopra|Atul Sharma|Aditya Seal|Joakim Skarli|Sammy John Heaney|Shreya Mehta|Vaunisha Kapoor|Sonia Goswami|Hiten Patel|Satish Kaushik|Manoj Anand|Katie Iqbal|Alankrita Sahai|
Andhadhun,2018,139,Crime|Thriller,8.4,51615,Ayushmann Khurrana|Tabu|Radhika Apte|Anil Dhawan|Manav Vij|Ashwini Kalsekar|Chhaya Kadam|Zakir Hussain|Rashmi Agdekar|Abhishek Shukla|Mohini Kewalramani|Nikitasha Kapoor|Saumin Patel|Hera Sajid|
Badhaai Ho,2018,124,Comedy|Drama,8,21851,Ayushmann Khurrana|Sanya Malhotra|Neena Gupta|Gajraj Rao|Surekha Sikri|Sheeba Chaddha|Shardul Rana|Rahul Tewari|Arun Kalra|
5 Weddings,2018,90,Comedy|Drama|Romance,3.2,316,Nargis Fakhri|Rajkummar Rao|Bo Derek|Candy Clark|Anneliese van der Pol|Suvinder Vicky|Mariana Paola Vicente|Saru Maini|Robert Palmer Watkins|Dawn Richard|
Kaashi in Search of Ganga,2018,125,Thriller,5.6,201,Aishwarya Devan|Kranti Prakash Jha|Manoj Joshi|Sharman Joshi|Shahnawaz Khan|Zara Khan|Mugdha Meharia|Akhilendra Mishra|Govind Namdeo|Manoj Pahwa|Gauri Shankar|Priyanka Singh|Mehul Surana|Joginder Tiwari|
Dassehra,2018,131,Action|Thriller,3.8,253,Neil Nitin Mukesh|Tina Desai|Manish Vatssalya|Govind Namdev|Ashwini Kalsekar|Murli Sharma|Shubhangi Gokhale|Scarlett Mellish Wilson|Pankaj Jha|Nisa Deys|Pooja Welling|
The Journey of Karma,2018,98,Drama,6.3,50,Shakti Kapoor|Poonam Pandey|
Jack & Dil,2018,98,Comedy|Family,5.1,55,Amit Sadh|Arbaaz Khan|Sonal Chauhan|Evelyn Sharma|Rajdeep Choudhury|Sudip Sarangi|Sachin Parikh|
Mohalla Assi,2015,150,Comedy|Drama,6.9,1369,Sunny Deol|Sakshi Tanwar|Ravi Kishan|Saurabh Shukla|Mukesh Tiwari|Rajendra Gupta|Mithilesh Chaturvedi|Seema Azmi|
Pihu,2018,91,Drama|Thriller,6.7,1582,Rahul Bagga|Pihu Myra Vishwakarma|
Bhaiaji Superhit,2018,139,Action|Comedy|Drama,4.1,465,Sunny Deol|Preity Zinta|Arshad Warsi|Ameesha Patel|Shreyas Talpade|Jaideep Ahlawat|Sanjay Mishra|Brijendra Kala|Amit Mistry|Hemant Pandey|Mukul Dev|Pankaj Tripathi|Ranjeet|Ashmita Kaur Bakshi|
Rajma Chawal,2018,117,Comedy|Drama|Family,5.7,1369,Amyra Dastur|Aparshakti Khurana|Rishi Kapoor|Mukesh Chhabra|Nirmal Rishi|Sheeba Chaddha|Brijendra Kala|Manu Rishi Chadha|Anirudh Tanwar|Harish Khanna|Diksha Juneja|Jeetendra Shastri|Mahesh Balraj|Chirag Khatri|
Zero,2018,164,Comedy|Drama|Romance,5.5,21456,Shah Rukh Khan|Anushka Sharma|Katrina Kaif|Mohammed Zeeshan Ayyub|Abhay Deol|Madhavan|
Simmba,2018,158,Action|Comedy|Drama,6.3,15829,Ranveer Singh|Sara Ali Khan|Sonu Sood|Ashutosh Rana|Siddarth Jadhav|Vaidehi Parshurami|Ulka Gupta|Suchitra Bandekar|Sulabha Arya|Ashwini Kalsekar|Neha Mahajan|Nandu Madhav|Shriswara|Sarita Joshi|
Tiger Zinda Hai,2017,161,Action|Adventure|Thriller,6,19760,Salman Khan|Katrina Kaif|Anupriya Goenka|Paresh Rawal|Nawab Shah|Zachary Coffin|Angad Bedi|Kumud Mishra|Danish Bhatt|Ryan Sturz|Girish Karnad|Kashmira Irani|Varun V. Sharma|Vibhoutee Sharma|
Golmaal Again,2017,140,Action|Comedy|Fantasy,4.9,7330,Ajay Devgn|Arshad Warsi|Tusshar Kapoor|Shreyas Talpade|Kunal Khemu|Parineeti Chopra|Tabu|Neil Nitin Mukesh|Prakash Raj|Johnny Lever|Sanjay Mishra|Mukesh Tiwari|Uday Tikekar|Vrajesh Hirjee|
Judwaa 2,2017,145,Action|Comedy,3.8,7418,Varun Dhawan|Jacqueline Fernandez|Taapsee Pannu|Anupam Kher|Sachin Khedekar|Prachee Shah Paandya|Upasna Singh|Rajpal Yadav|Vivan Bhatena|Zakir Hussain|Manoj Joshi|Charlie Carter|Fernanda Diniz|Benny Bereal|
OK Jaanu,2017,135,Drama|Romance,5.1,3350,Shraddha Kapoor|Naseeruddin Shah|Aditya Roy Kapoor|Srishti Shrivastava|Kitu Gidwani|Vibhoutee Sharma|Sarika Singh|Sanjay Gurbaxani|Jasmeet Singh Bhatia|Paul Varghese|Anil Khopkar|Leela Samson|Balkrishna Doshi|Neeraj Goswami|
Coffee with D,2017,123,Comedy,4.5,563,Sunil Grover|Zakir Hussain|Dipannita Sharma|Rajesh Sharma|
Kaabil,2017,139,Action|Drama|Thriller,7.1,22695,Hrithik Roshan|Yami Gautam|Ronit Roy|Rohit Roy|Narendra Jha|Girish Kulkarni|Sahidur Rahaman|Suresh Menon|
Raees,2017,143,Action|Crime|Drama,6.8,37609,Raj Arjun|Shubham Chintamani|Shubham Tukaram|Yug|Sagar|Sheeba Chaddha|Loveleen Mishra|Utkarsh Mazumdar|Prasoon Narayan|Avinash Razdan|Nishad Raj Rana|Ashok|Atul Kulkarni|Mahendra Shrivas|
Thugs of Hindostan,2018,164,Action|Adventure,4,15980,Aamir Khan|Katrina Kaif|Amitabh Bachchan|Fatima Sana Shaikh|Lloyd Owen|Ronit Roy|Joe Azzopardi|Terence J. Rotolo|Mohammed Zeeshan Ayyub|Sharat Saxena|Shaji Chaudhary|Satyadev Kancharana|Bilal Hossein|Abdul Quadir Amin|
Hind Ka Napak Ko Jawab,2017,130,Action|Comedy,6.8,3960,Gurmeet Ram Rahim Singh|Honeypreet Insan|
Running Shaadi,2017,114,Comedy|Romance,6.7,2268,Arsh Bajwa|Taapsee Pannu|Richa Meena|Amit Sadh|Inder Pal Singh|Brijendra Kala|
The Ghazi Attack,2017,116,Action|Thriller|War,7.6,10332,Rana Daggubati|Kay Kay Menon|Atul Kulkarni|Om Puri|Nassar|Rahul Singh|Milind Gunaji|Taapsee Pannu|
Irada,2017,109,Drama|Mystery|Thriller,6.2,1024,Naseeruddin Shah|Arshad Warsi|Divya Dutta|Sharad Kelkar|Sagarika Ghatge|Rajesh Sharma|Rumana Molla|Nikhil Pandey|Prashantt Guptha|Diwakar Kumar|Harmeet Kaur|Savita Bhatti|Prince Soni|Rohan Shah|
Rangoon,2017,170,Action|Drama|History,5.7,3393,Kangana Ranaut|Shahid Kapoor|Saif Ali Khan|Manav Vij|Ujjwal Chopra|Kuldeep Sareen|Saharsh Kumar Shukla|Rushad Rana|Shriswara Dubey|Gajraj Rao|Pooja Sarup|Atul Kumar|Richard McCabe|Alex Avery|
Wedding Anniversary,2017,108,Drama,5.4,53,Nana Patekar|Mahie Gill|Priyanshu Chatterjee|
Jeena Isi Ka Naam Hai,2017,173,Drama,5.6,82,Arbaaz Khan|Himansh Kohli|Ashutosh Rana|Manjari Fadnnis|Prem Chopra|Rati Agnihotri|Supriya Pathak|Aayam Mehta|Hannah Panneriy|Roma Bali|Ashok Banthia|Raju Kher|Poonam Labana|Bhanu Pratap Singh|
Badrinath Ki Dulhania,2017,139,Comedy|Drama|Romance,6.2,8868,Varun Dhawan|Alia Bhatt|Sahil Vaid|Swanand Kirkire|Rituraj Singh|Yash Sinha|Rajendra Sethi|Brahma Mishra|Shweta Basu Prasad|Leena Prabhu|Kanupriya Pandit|Sukhmani Lamba|Akansha Singh|Gauhar Khan|
Trapped,2016,105,Action|Drama|Thriller,7.5,8295,Rajkummar Rao|Geetanjali Thapa|Shiladitya Sen|Rahul Patel|Rahul Dutta|Vishwas|Girish|Malay Garg|Rajiv Khanna|Yogendra Vikram Singh|Patrick Graham|Hardik Mehta|Vivek Soni|Anup Rupanwar|
Aa Gaya Hero,2017,123,Action,2.9,304,Govinda|Richa Sharma|Poonam Pandey|Sweta Sharma|Chandrachur Singh|Makrand Deshpande|
Mantra,2017,90,Drama|Family,5.2,165,Rajat Kapoor|Kalki Koechlin|Shiv Panditt|Adil Hussain|Lushin Dubey|
Phillauri,2017,138,Comedy|Drama|Fantasy,6.1,3179,Anushka Sharma|Diljit Dosanjh|Suraj Sharma|Mehreen Pirzada|Manav Vij|Salima Raza|Raza Murad|Abhishek Banerjee|Nidhi Bisht|Sunil Mehra|Suparna Marwah|Hobby Dhaliwal|Shabnam Vadhera|Hassan Saad|
Machine,2017,148,Action|Mystery|Romance,2.7,636,Kiara Advani|Rishabh Arora|Mustafa Burmawala|Shabbir Burmawala|Carla Dennis|Supriya Karnik|Johnny Lever|Mridanjali Rawal|Ronit Roy|Sharat Saxena|Kishori Shahane|Eshaan Shanker|Dalip Tahil|Vivek Vaswani|
Bhanwarey,2017,120,Comedy,7.3,51,Shaurya Singh|Karhan Dev|Jashan Singh Kohli|Priyanka Shukla|Manoj Bakshi|
Anaarkali of Aarah,2017,113,Drama,6.5,1132,Pankaj Tripathi|Swara Bhaskar|Sanjay Mishra|Mayur More|Harsh Hansraj|Ishtiyak Khan|Vishwa Bhanu|Suman Patel|
Naam Shabana,2017,147,Action|Thriller,6.3,4791,Taapsee Pannu|Akshay Kumar|Manoj Bajpayee|Taher Shabbir|Virendra Saxena|Prithviraj Sukumaran|Danny Denzongpa|Madhurima Tuli|Murli Sharma|Anupam Kher|
Hotel Salvation,2016,102,Comedy|Drama,7.1,1487,Adil Hussain|Lalit Behl|Geetanjali Kulkarni|Palomi Ghosh|Navnindra Behl|Anil K. Rastogi|
Begum Jaan,2017,128,Action|Drama|History,5.5,2347,Amitabh Bachchan|Flora Saini|Vidya Balan|Naseeruddin Shah|Pallavi Sharda|Chunky Pandey|Gauhar Khan|Mishti|Priyanka Setia|Rajesh Sharma|Ashish Vidyarthi|Rajit Kapoor|Vivek Mushran|Pitobash|
Noor,2017,117,Comedy|Drama,4,1287,Sunny Leone|Sonakshi Sinha|Purab Kohli|Chloé Booyens|Rudhraksh Jaiswal|Manish Chaudhary|Suchitra Pillai|Sippora Zoutewelle|Smita Tambe|Vaibhav Raj Gupta|Kanan Gill|Gareth Lawrence|Shibani Dandekar|M.K. Raina|
Ek Rani Aisi Bhi Thi,2013,0,Biography|History,0,0,Hema Malini|Vinod Khanna|Sachin Khedekar|Rajesh Shringarpure|
Maatr,2017,113,Thriller,4.5,321,Raveena Tandon|Madhur Mittal|Siddharth Bhardwaj|Anurag Arora|Saheem Khan|Piyush Kaushik|Rushad Rana|Kuldeep Sharma|Alisha Khan|Divya Jagdale|Bhuvan Kaila|Sidharth Bhardwaj|Neetu Chaudhary|Deepak Mor|
Sarkar 3,2017,130,Action|Crime|Drama,4.9,1688,Amitabh Bachchan|Yami Gautam|Abhishek Bachchan|Jackie Shroff|Manoj Bajpayee|Amit Sadh|Rohini Hattangadi|Ronit Roy|Supriya Pathak|Bharat Dabholkar|Parag Tyagi|Bajrangbali Singh|
Jattu Engineer,2017,139,Comedy,6,3309,Amardeep Insan|Ashok Insan|Divya Insan|Ishwar Insan|Jaswinder Insan|Manoj Insan|Rajesh Insan|Rakesh Insan|Raman Insan|Randhir Insan|Satish Insan|Satyawan Insan|Sukhottam Insan|Vishu Insan|
Half Girlfriend,2017,135,Drama|Romance,4.3,5577,Shraddha Kapoor|Dalip Sondhi|Arjun Kapoor|Vikrant Massey|Rhea Chakraborty|Greg Kriek|Anisa Butt|Carishma Basday|Seema Biswas|Paula McGlynn|Adam Davenport|Vikas Mandaliya|Aaron Latta-Morissette|Hugo Salazar Jr.|
Meri Pyaari Bindu,2017,117,Comedy|Drama|Romance,5.8,3266,Ayushmann Khurrana|Parineeti Chopra|Anirban Chakraborty|Malvika Sitlani|Nishant Dahiya|Chandrachoor Rai|Prakash Belawadi|Amrita Bagchi|Aarnaa Sharma|Rajatabha Dutta|Kharaj Mukherjee|Abish Mathew|June Malia|Aparajita Adhya|
Sachin,2017,138,Documentary|Sport,8.6,7239,Sachin Tendulkar|Mayur More|Mayuresh Pem|
Hindi Medium,2017,132,Comedy|Drama,7.8,18315,Irrfan Khan|Saba Qamar|Dishita Sehgal|Deepak Dobriyal|Swati Das|Amrita Singh|Sumit Gulati|Angshuman Nandi|Neha Dhupia|Sahani|Arha Mahajan|Shiva Kumar|Sachin Kumar|Kiran Khoje|
Sweetiee Weds NRI,2017,116,Comedy|Drama|Romance,3.5,212,Himansh Kohli|Zoya Afroz|Darshan Jariwala|Kiran Juneja|Adi Irani|Ankit Arora|Shekhar Shukla|Shreyas Porus Pardiwalla|Babloo Mukherji|Farzil Pardiwalla|Vikrant Sakhalkar|Sadhvi Singh|Arjun Singh Mehta|
Dobaara: See Your Evil,2017,106,Horror|Mystery,3.9,291,Adil Hussain|Huma Qureshi|Madalina Bellariu Ion|Lisa Ray|Saqib Saleem|
Flat 211,2017,105,Crime|Mystery|Thriller,5.9,64,Jayesh Raj|Sonal Singh|Samonica Shrivastava|Digvijay Singh|Danish Kohli|Gautam Vig|Arif Bhaldar|Rahul Taneja|Pooja Gajria|Shailesh Upadhyay|Moumita Moitra|Piya Bhatnagar|Ravi Kaiwart|Jai Soni|
Dear Maya,2017,111,Drama|Romance,5.2,276,Manisha Koirala|Madiha Imam|Shreya Chaudhary|
Raabta,2017,147,Action|Adventure|Drama,4.1,2667,Deepika Padukone|Kriti Sanon|Sushant Singh Rajput|Rajkummar Rao|Varun Sharma|Jim Sarbh|Vikas Verma|Karan Singh Chhabra|Suneel Sinha|Manpreet Toor|Rina Fatania|Nidhi Subbaiah|Rachita Singh|Jashan Singh Kohli|
Behen Hogi Teri,2017,128,Comedy,5.5,1514,Rajkummar Rao|Shruti Haasan|Gautam Gulati|Darshan Jariwala|Ninad Kamat|Ranjeet|
Tubelight,2017,136,Drama|War,4,12911,Salman Khan|Sohail Khan|Om Puri|Mohammed Zeeshan Ayyub|Yashpal Sharma|Zhu Zhu|Matin Rey Tangu|Brijendra Kala|Isha Talwar|Jason D'Souza|Matt Kramer|Neeraj Khetarpal|Kapil Sharma|Mitansh Lulla|
Bank Chor,2017,120,Action|Comedy|Thriller,5.9,2164,Riteish Deshmukh|Vivek Oberoi|Rhea Chakraborty|Sahil Vaid|Bhuvan Arora|Vikram Thapa|Vikram Gokhale|Upendra Limaye|Naveen Kaushik|Sandesh Kulkarni|Baba Sehgal|Ramakant Dayma|Harpal Singh Sokhi|Suresh Venkat|
Ek Haseena Thi Ek Deewana Tha,2017,105,Drama,5,87,Shiv Darshan|Natasha Fernandez|Upen Patel|Lalit Tiwari|Krishan Tandon|Dimppy Ramdayal|Rumi Khan|Soni Kaur|
Jagga Jasoos,2017,161,Action|Adventure|Comedy,6.4,8162,Ranbir Kapoor|Katrina Kaif|Saswata Chatterjee|Chitrak Bandyopadhyay|Sayani Gupta|Saravajeet Tiwari|Nawazuddin Siddiqui|Mir Sarwar|Jimmeey Sirole|Saurabh Shukla|Yulian Caesar|Sarika Singh|Bijou Thaangjam|Denzil Smith|
Shab,2017,108,Drama|Romance,4.4,196,Ashish Bisht|Simon Frenay|Areesz Ganddi|Gaurav Nanda|Arpita Pal|Raj Suri|Sanjay Suri|Raveena Tandon|
Lipstick Under My Burkha,2016,117,Drama,6.8,5583,Aahana Kumra|Ratna Pathak Shah|Konkona Sen Sharma|Plabita Borthakur|
Bachche Kachche Sachche,2017,0,Drama|Short,0,0,Manoj Babani|Mukesh Tiwari|
G Kutta Se,2017,104,Drama,8.3,45,Rajveer Ankur Singh|Neha Chauhan|Vibha Tyagi|
Indu Sarkar,2017,139,Drama|History|Thriller,6,1287,Kirti Kulhari|Tota Roy Chowdhury|Neil Nitin Mukesh|Ankur Vikal|Sheeba Chaddha|Parvin Dabas|Abhinav Sharma|Anupam Kher|Manav Vij|Rashmi Jha|Ganesh Kumar|Ishika Taneja|Bikramjeet Kanwarpal|Mujtaba Aziz Khan|
Jab Harry Met Sejal,2017,143,Comedy|Drama|Romance,5.3,17317,Shah Rukh Khan|Anushka Sharma|Björn Freiberg|Martavious Gayles|Bruce Huther|Attila G. Kerekes|Christina Murphy|Daxesh Patel|Rana Ranbir|Chandan Roy Sanyal|Evelyn Sharma|Manjot Singh|Anjan Srivastav|Aru Krishansh Verma|
Munna Michael,2017,140,Action|Drama|Music,3.4,2396,Tiger Shroff|Nidhhi Agerwal|Nawazuddin Siddiqui|
Toilet - Ek Prem Katha,2017,155,Comedy|Drama,7.2,15738,Akshay Kumar|Bhumi Pednekar|Sudhir Pandey|Divyendu Sharma|Anupam Kher|Atul Srivastava|Shubha Khote|
Mubarakan,2017,156,Comedy|Romance,5.6,3109,Anil Kapoor|Arjun Kapoor|Ileana D'Cruz|Athiya Shetty|Neha Sharma|Viineet Kumar|Pavan Malhotra|Ratna Pathak Shah|Karan Kundrra|Anil Charanjeett|Rahul Dev|Monisha Hassen|Gurpal Singh|Mohit Chhabra|
Guest iin London,2017,132,Comedy,5.4,1279,Kartik Aaryan|Kriti Kharbanda|Paresh Rawal|Tanvi Azmi|Sanjay Mishra|Naveen Kaushik|
Bareilly Ki Barfi,2017,116,Comedy|Romance,7.5,14907,Ayushmann Khurrana|Kriti Sanon|Rajkummar Rao|Pankaj Tripathi|Rohit Choudhary|Swati Semwal|
Babumoshai Bandookbaaz,2017,122,Action|Crime|Thriller,6.9,1508,Nawazuddin Siddiqui|Bidita Bag|Jatin Goswami|Shradha Das|Divya Dutta|Murli Sharma|Bhagwan Tiwari|Anita Sahgal|Naveen Tyagi|Sanjay Inamdar|Anil George|Simran Nisha|Jeetu Shivhare|
YADVI: The Dignified Princess,2017,107,Biography|Drama|History,8.2,28,Prisha Aneja|Vinti Aneja|Marianne Borgo|Rachel Burnell|Aisha Choudhary|Mukesh Choudhary|Urmila Choudhary|Reshma D'Souza|Diksha Garg|Rahul Godara|Kuvam Handa|Yadvi Handa|Siraj Huda|Adi Singh Jalalpur|
Qaidi Band,2017,119,Drama|Music,5.7,257,Aadar Jain|Anya Singh|Mikhail Yawalkar|Anna Ador|Cyndy Khojol|Sange|Peter Muxka Manuel|Prince Parvinder Singh|
Shubh Mangal Saavdhan,2017,119,Comedy|Romance,6.9,6815,Ayushmann Khurrana|Bhumi Pednekar|Seema Bhargava|Anshul Chauhan|Brijendra Kala|Jimmy Sheirgill|Anmol Bajaj|
Raag Desh,2017,135,Action|Drama|History,8.3,341,Kunal Kapoor|Amit Sadh|Mohit Marwah|Kenneth Desai|Mrudula Murali|Kanwaljit Singh|Kenny Basumatary|Vijay Varma|R. Bhakti Klein|
Daddy,2017,134,Action|Biography|Crime,6.3,1369,Arjun Rampal|Aishwarya Rajesh|Nishikant Kamat|Rajesh Shringarpore|Purnanand Wandekar|Anupriya Goenka|Shruti Bapna|Usha Naik|Shrikant Yadav|Deepak Damle|Raj Arjun|Vijay Sanap|Abhimanue Arun|
Simran,2017,124,Crime|Drama|Thriller,5.3,2681,Kangana Ranaut|Sohum Shah|Esha Tewari|Jason Louder|Aneesha Joshi|Mark Justice|Rupinder Nagra|Catherine Dyer|James Cole|Robin Dyke|Alexander Garganera|Timothy Ryan Hickernell|Manda Lee|Yajhayra Maria|
Lucknow Central,2017,133,Action|Drama|Music,6.2,2294,Farhan Akhtar|Diana Penty|Inaamulhaq|Ronit Roy|Gippy Grewal|Deepak Dobriyal|Rajesh Sharma|
A Gentleman,2017,145,Action|Comedy,6.3,4400,Sidharth Malhotra|Jacqueline Fernandez|Darshan Kumaar|Hussain Dalal|Amit Mistry|Rajit Kapoor|Supriya Pilgaonkar|Sunil Shetty|Shaheed K. Woods|Zachary Coffin|Kushal Punjabi|
Viceroy's House,2017,106,Biography|Drama|History,6.7,5993,Hugh Bonneville|Gillian Anderson|Manish Dayal|Huma Qureshi|Michael Gambon|Om Puri|David Hayman|Simon Callow|Denzil Smith|Neeraj Kabi|Tanveer Ghani|Lily Travers|Jaz Deol|Arunoday Singh|
